Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.176695181009097,3.7644186714027503,6.2274639423076925,10.45,0.05
2,3.620966692001392,3.491874230058887,13.301282051282051,15.38,0.05
3,3.346757960625184,3.310138765769669,18.301782852564102,19.59,0.05
4,3.101488642203502,2.9778763402866413,22.731370192307693,25.09,0.05
5,2.878117105135551,2.75063030025627,26.735276442307693,30.23,0.05
6,2.6731994977364173,2.799098760266847,30.606470352564102,28.93,0.05
7,2.5301033892692666,3.4688941828812223,33.59375,25.02,0.05
8,2.3836223658842917,2.434725012960313,36.43329326923077,36.26,0.05
9,2.2531080096960068,2.329284767561321,39.12510016025641,39.18,0.05
10,2.143809419029798,2.260574493227126,41.81690705128205,40.28,0.05
11,2.0397828209858675,2.1709373887581163,44.04797676282051,42.27,0.05
12,1.9435462611608016,2.1917401763457285,46.16887019230769,42.1,0.05
13,1.8633445004622142,2.1905976458440852,48.33984375,42.45,0.05
14,1.7926705410847297,2.134128455874286,49.93239182692308,43.94,0.05
15,1.727327007895861,2.032094308092624,51.12680288461539,46.29,0.05
16,1.6557048563009653,2.0918834028364737,53.0674078525641,45.44,0.05
17,1.5996302675742369,2.0500693698472614,54.211738782051285,46.44,0.05
18,1.5368402153253555,1.961663028861903,56.11478365384615,48.28,0.05
19,1.4773258780821776,1.9749276849287976,57.27914663461539,48.61,0.05
20,1.4348380886591399,1.998610461814494,58.50610977564103,48.23,0.05
21,1.3724358681684885,1.987843021561828,59.93339342948718,48.28,0.05
22,1.3328611231767213,1.950821556622469,61.017628205128204,49.93,0.05
23,1.28777470630713,1.9087489315226107,62.121895032051285,51.18,0.05
24,1.2345206819665737,1.962434323528145,63.21864983974359,49.46,0.05
25,1.1842176371659987,1.9564432343350182,64.63341346153847,51.45,0.05
26,1.1478018034727147,1.9091150338136698,65.41716746794872,51.02,0.05
27,1.1263128580191197,1.9387577621242669,66.05068108974359,51.02,0.05
28,1.0665542059219801,1.9389219706571554,67.42788461538461,52.2,0.05
29,1.0263972637745051,1.8637756607200526,68.70492788461539,53.19,0.05
30,0.9928169084283022,1.9306127904336663,69.57632211538461,52.24,0.05
31,0.9663427433906457,1.9976252996468846,70.25741185897436,51.15,0.05
32,0.9340276939746661,1.9208550709712355,71.2139423076923,52.45,0.05
33,0.9147474515514497,1.975641525244411,71.4618389423077,51.58,0.05
34,0.8611361277409089,1.9738366603851318,72.93920272435898,52.16,0.05
35,0.8322318748403819,1.9765941176233413,73.9433092948718,51.97,0.05
36,0.8082215398167952,1.935459212411808,74.62940705128206,53.7,0.05
37,0.782179886331925,2.024081432366673,75.50831330128206,51.43,0.05
38,0.7459837484818238,2.026721764214431,76.56750801282051,52.18,0.05
39,0.731836679749764,2.057632669617858,77.08333333333333,52.65,0.05
40,0.6891810393486267,2.024329425413397,77.83954326923077,53.87,0.05
41,0.6758988825365518,2.0008855861953543,78.57071314102564,53.68,0.05
42,0.6498221577360079,2.0719277979452397,79.09655448717949,53.07,0.05
43,0.6248439677441732,2.1127232599862014,80.17327724358974,53.05,0.05
44,0.5990712425838678,2.117279372637785,80.92948717948718,53.18,0.05
45,0.5800302092654582,2.1774982983552955,81.43279246794872,52.54,0.05
46,0.5741186832579283,2.1828810187834726,81.6230969551282,51.98,0.05
47,0.5493535007803868,2.1872516900678223,82.29417067307692,52.11,0.05
48,0.5279371238862857,2.2319324710701087,82.7549078525641,52.62,0.05
49,0.5160378373395174,2.2736662701715398,83.18309294871794,51.69,0.05
50,0.48948332342581874,2.242769063273563,84.33743990384616,52.24,0.05
51,0.47103507019197327,2.173790983006924,84.52273637820512,54.06,0.05
52,0.47283205437736636,2.2679817314389386,84.66045673076923,52.55,0.05
53,0.4358146529740248,2.260597473458399,85.8573717948718,53.75,0.05
54,0.43155993277636856,2.19296477112589,85.99759615384616,54.07,0.05
55,0.4137848187237978,2.1780187404608427,86.41576522435898,54.23,0.05
56,0.41040365784787214,2.2925010149991967,86.62860576923077,53.35,0.05
