Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.374490707348555,3.989523133145103,4.07401842948718,8.48,0.01
2,3.794618694446026,3.628695560407035,10.950020032051283,14.06,0.01
3,3.5263236401936946,3.403184585933444,15.294471153846153,17.38,0.01
4,3.302909274895986,3.193941731996174,19.143129006410255,21.89,0.01
5,3.1127503651839037,3.030727259720428,22.87159455128205,24.25,0.01
6,2.966020500048613,2.920286658443982,25.41816907051282,27.41,0.01
7,2.818103693234615,2.935533912875984,28.23016826923077,27.27,0.01
8,2.671443705375378,2.6895541873159288,31.052183493589745,31.63,0.01
9,2.5392628266261172,2.5872208800496934,33.72896634615385,33.41,0.01
10,2.4170029981014056,2.5059725845916363,36.25550881410256,35.88,0.01
11,2.3064766304615216,2.4276288702518127,38.361378205128204,37.36,0.01
12,2.2137639767084365,2.3589017813718773,40.52734375,38.95,0.01
13,2.1086736558339534,2.3089714336998854,42.75841346153846,39.78,0.01
14,2.035141442448665,2.2570351588575144,44.67397836538461,41.18,0.01
15,1.9446499240704072,2.2270427731019034,46.25901442307692,42.18,0.01
16,1.8635116731509185,2.280071978327594,48.27223557692308,41.67,0.01
17,1.7851308763791354,2.1393739452844933,50.05008012820513,44.31,0.01
18,1.719686596821516,2.115098951738092,51.78285256410256,44.25,0.01
19,1.6474524958011432,2.2131667378582534,53.405448717948715,43.15,0.01
20,1.588208550061935,2.1456819516194017,54.7450921474359,44.58,0.01
21,1.5253182000074632,2.0959567827514456,56.46784855769231,45.52,0.01
22,1.458110463160735,2.0936070031757597,58.16556490384615,46.45,0.01
23,1.3947291118212235,2.1263532125497164,59.50270432692308,45.98,0.01
24,1.3496917818601315,2.056536706188057,60.534354967948715,47.82,0.01
25,1.2944791062902181,2.1044150575806824,62.00671073717949,46.33,0.01
26,1.2295275108936505,2.0332143110564993,63.60927483974359,49.04,0.01
27,1.1812595104177792,2.1457974699479117,64.96143830128206,47.07,0.01
28,1.1298428332576385,2.091730884358853,66.13331330128206,48.87,0.01
29,1.0843698325065465,2.0470658133301556,67.60316506410257,49.86,0.01
30,1.0216857437521984,2.1899559558192387,68.92528044871794,46.65,0.01
31,0.9801220278709363,2.3041679376288307,70.01953125,46.51,0.01
32,0.9400185977037137,2.1706525419331806,71.17137419871794,48.05,0.01
33,0.8872227332530878,2.1927350985852976,72.75140224358974,48.03,0.01
34,0.8452672035648272,2.2047635226310054,73.59024439102564,48.57,0.01
35,0.7923647375443043,2.226101707808579,75.33052884615384,49.22,0.01
36,0.7541053428863868,2.2520820913435537,76.43980368589743,48.97,0.01
37,0.7193819960722556,2.3154349266728267,77.47395833333333,48.51,0.01
38,0.6713680024139392,2.2888106334058542,79.08153044871794,49.02,0.01
39,0.6303097184460896,2.3202261864384517,80.34104567307692,49.16,0.01
40,0.5936386711322345,2.3832394292082966,81.21243990384616,49.62,0.01
41,0.5612961284052103,2.3606593397599234,82.32672275641026,49.04,0.01
42,0.527710477129007,2.3697959516621845,83.30328525641026,49.31,0.01
43,0.5020000462730726,2.3906903553612624,83.95933493589743,49.94,0.01
44,0.46374928187101316,2.4386246144017085,85.37910657051282,49.82,0.01
45,0.4416968418428531,2.5071469047401527,86.04517227564102,48.71,0.01
46,0.4252046317530748,2.4978618712364873,86.42578125,49.05,0.01
47,0.3944923866253633,2.4638841348358347,87.59515224358974,50.17,0.01
48,0.36610632313367647,2.5015484849108924,88.46654647435898,49.39,0.01
