Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.137627615378453,3.804692005809349,6.7282652243589745,10.9,0.05
2,3.647184066283397,3.4676431130759324,12.958233173076923,15.54,0.04999862923413781
3,3.40868933002154,3.2606739303733727,17.042267628205128,19.5,0.049994517086871144
4,3.178878273719396,3.053532518918001,21.06620592948718,23.76,0.0499876640091433
5,2.9758702913920083,2.941395436661153,24.809695512820515,25.64,0.049978070752471467
6,2.8040973406571608,2.7935758150076566,28.15254407051282,29.19,0.04996573836886435
7,2.6462295047747784,2.637466982950138,31.23497596153846,32.3,0.049950668210706796
8,2.49257207986636,2.5509048987038527,34.34495192307692,33.7,0.04993286193061145
9,2.359173079713797,2.348319636115545,37.32972756410256,38.3,0.049912321481237615
10,2.244228321390274,2.338131783883783,39.36548477564103,38.72,0.049889049115077
11,2.128700235333198,2.312219843079772,42.17748397435897,39.76,0.049863047384206834
12,2.016811122114842,2.2741576010667823,44.87930689102564,40.53,0.049834319140009915
13,1.9380414661688683,2.118637030637717,46.45683092948718,44.18,0.04980286753286196
14,1.8543490591721656,2.156661616096014,48.05689102564103,42.63,0.049768696011786094
15,1.7722295793967369,2.118178277076045,50.42568108974359,44.5,0.049731808324074714
16,1.691146807028697,2.034255468392674,52.33373397435897,46.45,0.04969220851487845
17,1.6216573329308095,2.026370481599735,53.66336137820513,47.27,0.04964990092676263
18,1.560769151800718,1.9558923621720905,55.10566907051282,47.62,0.04960489019923105
19,1.490667557487121,2.044007781185681,56.921073717948715,47.5,0.049557181268217225
20,1.4242892479285216,1.9596887208238434,58.65384615384615,48.35,0.049506779365543055
21,1.3656758622099192,1.988020113751858,60.16125801282051,48.47,0.049453690018345146
22,1.307698364632252,2.0034676367723487,61.28305288461539,49.32,0.049397919048468686
23,1.2548293924102416,2.131624353082874,62.888120993589745,47.81,0.04933947257182901
24,1.2004518505090322,2.013547142849693,64.01241987179488,49.7,0.049278356997740906
25,1.1521325546961565,1.9984501011763947,65.13922275641026,50.91,0.049214579028215785
