Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.107186900499539,3.8965811276737647,6.840945512820513,9.54,0.05
2,3.6174630255271225,3.7815561143657828,13.606770833333334,14.26,0.05
3,3.3308684138151317,3.3299554933475544,18.33183092948718,19.2,0.05
4,3.088471401960422,3.0006729681280593,22.64873798076923,24.75,0.05
5,2.861899256706238,2.830341936666754,27.118389423076923,28.52,0.05
6,2.6703437849497185,2.682885978795305,30.98457532051282,30.56,0.05
7,2.506009061367084,2.5142776513401466,33.96935096153846,34.63,0.05
8,2.3628777888340826,2.4048711831056617,36.89903846153846,36.55,0.05
9,2.243138706454864,2.4237896883035006,39.680989583333336,37.13,0.05
10,2.1375462527458486,2.246058097368554,41.83443509615385,40.68,0.05
11,2.053599774073332,2.168877942652642,43.91025641025641,42.37,0.05
12,1.9692902293724892,2.1135187103778503,45.94601362179487,42.39,0.05
13,1.9021391001267312,2.199542095389547,47.33323317307692,41.52,0.05
14,1.842871259038265,1.9929906793787509,48.52013221153846,46.23,0.05
15,1.8047604434765303,2.0749153245853473,49.45162259615385,43.91,0.05
16,1.7629379274753423,1.99763366542285,50.76622596153846,46.09,0.05
17,1.722353411408571,1.9971033078205735,51.69020432692308,46.46,0.05
18,1.693467595638373,2.23021549816373,52.19601362179487,41.86,0.05
19,1.660809365984721,1.959716584109053,53.09745592948718,47.4,0.05
20,1.6410650954796717,1.914533728285681,53.43299278846154,47.9,0.05
21,1.6178494126368792,1.957900960234147,53.91626602564103,47.03,0.05
22,1.5842869002849629,1.9609922276267522,55.08313301282051,47.12,0.05
23,1.5717456256731963,1.949058374272117,55.30348557692308,47.57,0.05
24,1.548787228954144,1.8878739589377294,55.86688701923077,49.2,0.05
25,1.5386164066119072,2.098165481905394,56.237479967948715,45.4,0.05
26,1.5055300226578345,1.9143834612037562,57.21905048076923,48.95,0.05
27,1.5075884140454805,2.093399227419986,56.770833333333336,45.66,0.05
28,1.48268956442674,1.9101196044608006,57.57211538461539,48.83,0.05
29,1.475560602469322,2.022279472290715,57.86508413461539,47.08,0.05
30,1.4580385425151923,1.9827666825886014,58.23818108974359,47.68,0.05
31,1.4578835326127517,2.029229162614557,58.0478766025641,46.65,0.05
32,1.4416307165072515,1.8674051142946075,58.71394230769231,50.06,0.05
33,1.4164288338178244,2.074115161654315,59.44260817307692,46.36,0.05
34,1.4278711004134936,1.9165208867833585,59.13461538461539,49.44,0.05
35,1.3986861117375202,1.8888372152666502,59.64042467948718,50.03,0.05
36,1.4008377610872953,1.8835654892498934,59.56280048076923,49.46,0.05
37,1.388813623251059,1.7633060895943944,60.02103365384615,52.38,0.05
38,1.382481432495973,1.8021863200996495,60.11868990384615,52.16,0.05
39,1.3763450968724031,1.8177560839471938,60.14122596153846,51.29,0.05
40,1.3601650014901772,1.8244330143626732,61.05018028846154,51.38,0.05
41,1.3471629132445042,1.817864958244034,61.05518830128205,51.34,0.05
42,1.3435061705800204,2.002702572677709,61.120292467948715,49.04,0.05
43,1.3507424191786692,1.7836276458788523,60.842347756410255,51.7,0.05
44,1.3224301468103359,1.8590407612957531,61.61608573717949,50.62,0.05
45,1.3266475588465347,1.8410607908345475,61.490885416666664,51.2,0.05
46,1.3243574838225658,1.8961902736108514,61.80138221153846,49.71,0.05
47,1.307755969464779,1.7841919690747805,61.89152644230769,52.3,0.05
48,1.3106368008332374,1.8067124538783785,61.87149439102564,52.13,0.05
