Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.182333298982718,3.732159237318401,6.192407852564102,10.74,0.05
2,3.5338435020202246,3.3360956137693383,14.450620993589743,18.82,0.05
3,3.14747946537458,2.9654122243953656,21.697215544871796,25.05,0.05
4,2.8594325589828,2.801090306873563,26.707732371794872,28.43,0.05
5,2.6292032095102162,2.5624608571016334,31.017127403846153,33.94,0.05
6,2.447865496079127,2.412088065207759,34.81320112179487,36.06,0.05
7,2.3071790551527953,2.2812326859824266,37.87059294871795,39.13,0.05
8,2.16770846530413,2.150858474683158,41.41125801282051,41.57,0.05
9,2.0642549131925287,2.142311099209363,43.732471955128204,42.45,0.05
10,1.9694637308518093,2.1454901619802547,45.30749198717949,42.84,0.05
11,1.8779326971524801,2.0397399558296687,47.80398637820513,45.15,0.05
12,1.7939641032463465,1.9630744909938378,49.63191105769231,46.91,0.05
13,1.7217557491400304,1.9455881073505064,51.51993189102564,47.74,0.05
14,1.6471968018091643,1.9280832417403595,53.332832532051285,48.58,0.05
15,1.5866273970176012,1.9105948375750192,54.61488381410256,49.22,0.05
16,1.5206224028116617,1.874694205537627,56.41025641025641,49.66,0.05
17,1.462694302201271,1.8587103825581224,57.65975560897436,49.91,0.05
18,1.3962520605478532,1.8885212548171417,59.29987980769231,50.11,0.05
19,1.3406047794299247,1.8555168154873425,60.89993990384615,51.27,0.05
20,1.2893812912396896,1.8625529853603509,61.98918269230769,51.72,0.05
21,1.2270772822010212,1.8440658955634395,63.55168269230769,52.13,0.05
22,1.1820359703822014,1.9051641738867457,64.86378205128206,51.14,0.05
23,1.1239024295638769,1.88322505166259,66.41626602564102,51.99,0.05
24,1.0779560149098053,1.9091204359561582,67.4228766025641,51.58,0.05
25,1.0172098397444456,1.875297698793532,69.26332131410257,52.95,0.05
26,0.9645510023603072,1.8963096277623237,70.73567708333333,52.9,0.05
27,0.9242491288444935,1.9343839174584498,71.71724759615384,52.45,0.05
28,0.8650276853870122,1.94234706329394,73.19461137820512,52.77,0.05
29,0.8283122743551548,2.000256814534151,74.25380608974359,52.03,0.05
30,0.7797175123332403,2.00567822516719,75.85887419871794,53.21,0.05
31,0.732064467878678,1.9902931134912032,77.03826121794872,53.49,0.05
32,0.6775799600932843,2.0784686049328576,78.62580128205128,52.47,0.05
33,0.6414218303293754,2.087182476550718,79.52974759615384,52.96,0.05
34,0.5914976637905989,2.127723988098434,81.05218349358974,52.43,0.05
35,0.5510691774006073,2.1580827568150776,82.52954727564102,52.97,0.05
36,0.5184958521754314,2.175540232960182,83.29827724358974,52.44,0.05
37,0.47338285736548597,2.135642231265201,84.92588141025641,54.56,0.05
38,0.4510257160052275,2.223274575004095,85.41917067307692,53.08,0.05
39,0.4209697495859403,2.326599922361253,86.47085336538461,52.86,0.05
40,0.37804189481987405,2.2555524412589736,87.6201923076923,53.7,0.05
41,0.36971286029960865,2.3102879509141174,88.14102564102564,54.17,0.05
42,0.34787251255833185,2.367490824264816,88.83964342948718,52.93,0.05
43,0.31714429883047557,2.3854042714155175,89.64092548076923,52.79,0.05
44,0.2885343177864949,2.464242589624622,90.60496794871794,52.65,0.05
45,0.2623475548835137,2.45501480525053,91.58653846153847,53.27,0.05
46,0.25048448279117924,2.449981321262408,91.90204326923077,53.01,0.05
47,0.22881177246857148,2.474877078321916,92.69581330128206,53.8,0.05
48,0.21804945834745199,2.477863972700095,92.93870192307692,53.99,0.05
49,0.20570400963800076,2.608167592483231,93.52213541666667,53.33,0.05
50,0.19050049639712924,2.5905489574504803,93.90274439102564,53.64,0.05
51,0.18692068636226347,2.582229617275769,94.140625,53.83,0.05
52,0.16903539650285473,2.577185297314125,94.77163461538461,53.88,0.05
53,0.1565999658061908,2.614737990536267,95.07211538461539,54.2,0.05
54,0.15259664757654834,2.5793878398364103,95.12219551282051,54.52,0.05
55,0.14091513135160008,2.5978406622440002,95.5879407051282,54.22,0.05
56,0.1361053887491998,2.6330835894693303,95.80078125,54.48,0.05
57,0.12974936010029453,2.7358277055281626,95.90094150641026,53.61,0.05
58,0.12606296880552784,2.7480054988136775,96.16386217948718,54.13,0.05
59,0.11595362989017023,2.727978810479369,96.42427884615384,53.81,0.05
60,0.10210047667034161,2.7188839369182345,96.81239983974359,54.46,0.05
61,0.10339406683133581,2.7183379040488713,96.79236778846153,53.94,0.05
62,0.09493224531149444,2.7408415003667903,97.08283253205128,55.1,0.05
63,0.08856096014810297,2.7261587773697284,97.39332932692308,55.05,0.05
64,0.08506810721845771,2.7370589051065566,97.44090544871794,54.93,0.05
65,0.0835271383014818,2.7663092688669133,97.46594551282051,55.44,0.05
66,0.08143169828093587,2.7839947757841665,97.4784655448718,54.73,0.05
67,0.07857502713942757,2.826394108277333,97.66125801282051,54.6,0.05
68,0.07544542723693527,2.868861705442018,97.65124198717949,54.46,0.05
69,0.07679829781707855,2.8181927958621253,97.5761217948718,55.12,0.05
70,0.07521725546879073,2.8251739996898024,97.77894631410257,54.64,0.05
71,0.07280744591918893,2.84017470516736,97.82401842948718,54.64,0.05
72,0.07353490791343248,2.9261538499518287,97.77393830128206,54.43,0.05
73,0.06615499161386815,2.9015819422806364,98.11197916666667,55.34,0.05
